Interview number,SECTOR,REGION,DISTRICT,PARISH,Language,Role in Business,What is your role in the business?,Age of owner,Gender of owner,Nationality of owner,Primary Activity,Secondary Activity,How long has the business been operating?,Legal status,What is the current legal status of the business? SINGLE ANSWER,Where business operates from,Where does the business mainly operate from? SINGLE ANSWER,Keeping all physical receipts in an organized manner,Book keeping for revenues (but not necessarily expenditures),Do full financials (Revenue and expense excluding tax accounting),4 Do full financials (Revenue and expense including tax accounting),Firms total sales
1118,EDUCATION & HEALTH,EASTERN,JINJA,CENTRAL WEST WARD,English,Owner,,50+,Male,Ugandan,Human health activities,,30,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,4000000
1119,FOOD PROCESSING,EASTERN,JINJA,MAGAMAGA,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,1,1,3000000
,,,,,,,,,,,,,,,,,,,,,,
1123,EDUCATION & HEALTH,CENTRAL,SEMBABULE,MATEETE TOWN COUNCIL,English,Manager,,25-34,Male,Ugandan,Education,,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1350000
1124,FINANCIAL,WESTERN,KIRUHURA,NYAKASHARARA WARD,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,20,Single owner/sole proprietorship,,Farm,,No,No,0,0,2760000
,,,,,,,,,,,,,,,,,,,,,,
1126,ACCOMODATION,CENTRAL,NAKASEKE,POSTA,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,400000
1127,TRADING,CENTRAL,SEMBABULE,MATEETE TOWN COUNCIL,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,9800000
1128,FOOD PROCESSING,CENTRAL,SEMBABULE,MATEETE TOWN COUNCIL,Luganda,Owner,,25-34,Male,Ugandan,Food and beverage service activities,,3,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,2240000
1130,FINANCIAL,NORTHERN,LIRA,BAZZAR,English,Other (please state),Sales Manager,35-50,Female,Ugandan,"Insurance, reinsurance and pension funding, except compulsory social security",,10,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
1131,TRANSPORT & STORAGE,NORTHERN,LIRA,BAZZAR,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,7,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,2000000
1132,REAL ESTATE,KAMPALA,KAMPALA,BWAISE I,English,Owner,,35-50,Male,Ugandan,Activities of head offices; management consultancy activities,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
1133,FINANCIAL,WESTERN,KIBAALE,KASINGO,English,Manager,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,60,Co-operative,,Home,,Yes,No,0,0,400000
1134,OTHER MANUFACTURING,EASTERN,SOROTI,CENTRAL WARD,English,Owner,,50+,Female,Ugandan,Publishing activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
1136,INFORMATION & COMMUNICATION,EASTERN,TORORO,CENTRAL,English,Manager,,35-50,Male,Ugandan,"Computer programming, consultancy and related activities",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
1138,OTHER MANUFACTURING,EASTERN,TORORO,CENTRAL,Luganda,Owner,,25-34,Male,Ugandan,Other personal service activities,,4,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,500000
1139,FISHING,CENTRAL,WAKISO,NKUMBA,English,Owner,,25-34,Male,Ugandan,Food and beverage service activities,,8,Single owner/sole proprietorship,,Other (please specify),Lake,No,No,0,0,800000
1140,EDUCATION & HEALTH,EASTERN,JINJA,WALUKUBA WEST,English,Other (please state),Director,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,27,Other (please specify),Community based business,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,500000
1141,FOOD PROCESSING,EASTERN,JINJA,WALUKUBA WEST,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,21,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1500000
1142,FINANCIAL,NORTHERN,LIRA,IPITO AWENO,English,Other (please state),Area Manager,35-50,Male,Ugandan,"Insurance, reinsurance and pension funding, except compulsory social security",,10,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
1143,OTHER MANUFACTURING,KAMPALA,KAMPALA,NAJJANANKUMBI I,English,Owner,,50+,Male,Ugandan,"Crop and animal production, hunting and related service activities",,31,Single owner/sole proprietorship,,Home,,Yes,No,0,0,2000000
,,,,,,,,,,,,,,,,,,,,,,
1145,AGRICULTURE,EASTERN,JINJA,KAGOMA,English,Owner,,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,21,Single owner/sole proprietorship,,Home,,No,Yes,0,0,400000
1146,RECREATION & PERSONAL,EASTERN,KAMULI,MANDWA,English,Owner,,25-34,Female,Ugandan,Food and beverage service activities,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,750000
1148,TRANSPORT & STORAGE,CENTRAL,RAKAI,MUTUKULA TOWN B,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,3000000
1149,AGRICULTURE,CENTRAL,RAKAI,MUTUKULA TOWN B,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,5,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,2000000
1150,OTHER MANUFACTURING,CENTRAL,RAKAI,MUTUKULA TOWN B,English,Owner,,18-24,Male,Ugandan,Manufacture of wearing apparel,,2,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1500000
1151,TRADING,WESTERN,KIBAALE,KASINGO,English,Manager,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,5,Single owner/sole proprietorship,,Home,,Yes,No,0,0,750000
1152,TRADING,WESTERN,KIBAALE,KASINGO,English,Manager,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,7,Single owner/sole proprietorship,,Home,,Yes,No,0,0,1500000
,,,,,,,,,,,,,,,,,,,,,,
1156,TRADING,WESTERN,KYEGEGWA,KARWENYI,English,Owner,,25-34,Male,Ugandan,"Wholesale trade, except of motor vehicles and motorcycles",,10,Single owner/sole proprietorship,,Home,,Yes,No,0,0,1500000
,,,,,,,,,,,,,,,,,,,,,,
1158,TRADING,KAMPALA,KAMPALA,NAKASERO III,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1500000
1159,REAL ESTATE,CENTRAL,WAKISO,NANSANA,Luganda,Owner,,35-50,Male,Ugandan,Activities of head offices; management consultancy activities,,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,30000000
1160,RECREATION & PERSONAL,CENTRAL,RAKAI,INDUSTRIAL WARD,English,Owner,,35-50,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,2,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,600000
,,,,,,,,,,,,,,,,,,,,,,
1162,RECREATION & PERSONAL,CENTRAL,RAKAI,CENTRAL ZONE,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,1500000
1163,EDUCATION & HEALTH,WESTERN,KABAROLE,BUKWALI WARD,English,Owner,,50+,Male,Ugandan,Education,,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,44000000
,,,,,,,,,,,,,,,,,,,,,,
1165,TRADING,CENTRAL,WAKISO,KIREKA,Luganda,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,7,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,770000
1166,AGRICULTURE,KAMPALA,KAMPALA,KANSANGA,Luganda,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,7,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,880000
,,,,,,,,,,,,,,,,,,,,,,
1168,TRADING,WESTERN,KABAROLE,BUKWALI WARD,English,Manager,,25-34,Female,Ugandan,Wholesale and retail trade and repair of motor vehicles and motorcycles,,27,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,1200000
1169,RECREATION & PERSONAL,WESTERN,KABAROLE,RWENGOMA,English,Owner,,35-50,Male,Ugandan,Programming and broadcasting activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,100000
,,,,,,,,,,,,,,,,,,,,,,
1171,ACCOMODATION,KAMPALA,KAMPALA,BUTABIKA,Luganda,Owner,,25-34,Female,Ugandan,Food and beverage service activities,,14,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,150000
1172,EDUCATION & HEALTH,KAMPALA,KAMPALA,MPERERWE,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,4,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,250000
1173,EDUCATION & HEALTH,WESTERN,KABAROLE,BUKWALI WARD,English,Owner,,25-34,Male,Ugandan,Education,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,1800000
1174,EDUCATION & HEALTH,WESTERN,KABAROLE,RWENGOMA,English,Owner,,35-50,Male,Ugandan,Education,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1860000
,,,,,,,,,,,,,,,,,,,,,,
1177,RECREATION & PERSONAL,WESTERN,HOIMA,CENTRAL WARD,Luganda,Owner,,35-50,Female,Ugandan,"Creative, arts and entertainment activities",,23,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,300000
1178,CONSTRUCTION,WESTERN,KABAROLE,BAZAAR,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,8,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,80000000
,,,,,,,,,,,,,,,,,,,,,,
1180,EDUCATION & HEALTH,WESTERN,KABAROLE,KASWA,English,Owner,,25-34,Female,Ugandan,Education,,9,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1800000
1181,EDUCATION & HEALTH,WESTERN,HOIMA,CENTRAL WARD,Luganda,Owner,,35-50,Male,Ugandan,Human health activities,,19,Single owner/sole proprietorship,,Home,,Yes,No,0,0,6000000
1182,AGRICULTURE,WESTERN,KYEGEGWA,BUGIDO,English,Owner,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,6,Single owner/sole proprietorship,,Home,,No,No,0,0,500000
1183,TRANSPORT & STORAGE,WESTERN,KYEGEGWA,KITALEESA,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,400000
1184,INFORMATION & COMMUNICATION,WESTERN,KYEGEGWA,NKAAKA,English,Owner,,25-34,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,4,Single owner/sole proprietorship,,Home,,No,No,0,0,300000
1185,AGRICULTURE,WESTERN,KYEGEGWA,MUGONGWE,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,6,Single owner/sole proprietorship,,Home,,No,No,0,0,500000
1186,TRADING,WESTERN,KIBAALE,KASINGO,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
1189,RECREATION & PERSONAL,CENTRAL,MUKONO,NAMUMIRA - ANTHONY,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,12,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,21000000
,,,,,,,,,,,,,,,,,,,,,,
1191,ACCOMODATION,CENTRAL,WAKISO,SAZI,Luganda,Owner,,25-34,Female,Ugandan,Manufacture of wearing apparel,,6,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,120000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1194,INFORMATION & COMMUNICATION,WESTERN,HOIMA,CENTRAL WARD,English,Owner,,25-34,Male,Ugandan,Repair of computers and personal and household goods,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,380000
1195,EDUCATION & HEALTH,NORTHERN,AMOLATAR,AMAI,English,Owner,,50+,Male,Ugandan,Education,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1000000
,,,,,,,,,,,,,,,,,,,,,,
1198,MINING,EASTERN,MBALE,NABUMALI,Other (specify),Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,25,Partnership,,Other (please specify),quarry site,No,No,0,0,400000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1202,TRANSPORT & STORAGE,CENTRAL,WAKISO,NKUMBA,English,Owner,,35-50,Male,Ugandan,Construction of buildings,,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,0
1203,ACCOMODATION,CENTRAL,WAKISO,KIWAFU,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,20,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,4000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1213,RECREATION & PERSONAL,EASTERN,KAMULI,MUWEBWA,English,Manager,,35-50,Female,Ugandan,"Creative, arts and entertainment activities",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3000000
1214,TRADING,NORTHERN,GULU,LIBRARY,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,16,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1000000
1217,OTHER MANUFACTURING,WESTERN,KANUNGU,KIHIIHI TOWN COUNCIL / TOWN WARD,English,Owner,,25-34,Male,Ugandan,Other personal service activities,,7,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,500000
1218,FOOD PROCESSING,WESTERN,KANUNGU,BUREMA,English,Manager,,25-34,Male,Ugandan,"Crop and animal production, hunting and related service activities",,5,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,800000
1220,FOOD PROCESSING,WESTERN,KANUNGU,RUHANDAGAZI,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,Farm,,No,Yes,0,1,900000
1222,INFORMATION & COMMUNICATION,EASTERN,MBALE,BUMASIKYE,English,Owner,,35-50,Female,Ugandan,"Financial service activities, except insurance and pension funding",,12,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,7375070
,,,,,,,,,,,,,,,,,,,,,,
1225,EDUCATION & HEALTH,KAMPALA,KAMPALA,LUZIRA,English,Manager,,25-34,Female,Ugandan,Education,,5,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,700000
,,,,,,,,,,,,,,,,,,,,,,
1227,OTHER MANUFACTURING,CENTRAL,WAKISO,KIRA,English,Other (please state),Director,35-50,Female,Ugandan,Education,,11,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,750000
1228,AGRICULTURE,CENTRAL,WAKISO,KIRA,English,Owner,,35-50,Female,Ugandan,"Crop and animal production, hunting and related service activities",,10,Single owner/sole proprietorship,,Other (please specify),Landing site,Yes,Yes,1,1,1750000
,,,,,,,,,,,,,,,,,,,,,,
1230,RECREATION & PERSONAL,CENTRAL,WAKISO,KIRINYA,English,Owner,,25-34,Male,Ugandan,Other personal service activities,,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,100000
1231,FINANCIAL,NORTHERN,LIRA,BAR OGOLE,English,Manager,,35-50,Female,Ugandan,"Insurance, reinsurance and pension funding, except compulsory social security",,10,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1500000
,,,,,,,,,,,,,,,,,,,,,,
1234,EDUCATION & HEALTH,CENTRAL,LUWERO,LUWERO CENTRAL,English,Owner,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,570000
1235,FOOD PROCESSING,CENTRAL,LUWERO,KIWOGOZI,English,Owner,,35-50,Female,Ugandan,Food and beverage service activities,,7,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,200000
1236,TRADING,CENTRAL,LUWERO,KIWOGOZI,English,Other (please state),Son,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,600000
1237,EDUCATION & HEALTH,CENTRAL,LUWERO,KIWOGOZI,English,Owner,,35-50,Female,Ugandan,Education,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,600000
1239,RECREATION & PERSONAL,CENTRAL,WAKISO,KYALIWAJALA,Luganda,Owner,,25-34,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,12,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,Yes,0,0,480000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1243,OTHER MANUFACTURING,NORTHERN,OYAM,ABILI,English,Owner,,35-50,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,12,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,300000
1244,ACCOMODATION,EASTERN,MBALE,BUMASIKYE,Other (specify),Owner,,25-34,Female,Ugandan,Food and beverage service activities,,3,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,1000000
1245,ACCOMODATION,NORTHERN,KOLE,ADYEDA,English,Owner,,35-50,Female,Ugandan,Manufacture of wearing apparel,,15,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,500000
,,,,,,,,,,,,,,,,,,,,,,
1247,CONSTRUCTION,WESTERN,HOIMA,CENTRAL WARD,English,Manager,,25-34,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,3,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,200000
1248,EDUCATION & HEALTH,WESTERN,KABAROLE,KITUMBA WARD,English,Other (please state),Headmistress,35-50,Female,Ugandan,Education,,4,Other (please specify),Church owned School,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,1200000
1249,RECREATION & PERSONAL,WESTERN,KABAROLE,BAZAAR,English,Owner,,25-34,Male,Ugandan,"Creative, arts and entertainment activities",,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,150000
1250,AGRICULTURE,WESTERN,KABAROLE,KIYOMBYA,English,Owner,,50+,Female,Ugandan,"Crop and animal production, hunting and related service activities",,23,Co-operative,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,10000
1251,EDUCATION & HEALTH,WESTERN,KISORO,NORTH WARD,English,Owner,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,400000
1252,INFORMATION & COMMUNICATION,WESTERN,KABALE,CENTRAL,English,Owner,,25-34,Male,Ugandan,"Computer programming, consultancy and related activities",,15,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2000000
,,,,,,,,,,,,,,,,,,,,,,
1255,AGRICULTURE,WESTERN,KYEGEGWA,KIJONGOBYA,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,7,Single owner/sole proprietorship,,Home,,Yes,Yes,0,0,600000
,,,,,,,,,,,,,,,,,,,,,,
1258,EDUCATION & HEALTH,EASTERN,MBALE,BULUSAMBU,Luganda,Owner,,35-50,Male,Ugandan,Manufacture of wearing apparel,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,60000
1259,AGRICULTURE,CENTRAL,RAKAI,MUTUKULA TOWN B,English,Owner,,35-50,Female,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,19,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,0
1260,AGRICULTURE,CENTRAL,RAKAI,KATUNTU WARD,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,3,Single owner/sole proprietorship,,Home,,No,Yes,0,0,0
1261,TRADING,CENTRAL,RAKAI,INDUSTRIAL WARD,English,Owner,,25-34,Male,Ugandan,Wholesale and retail trade and repair of motor vehicles and motorcycles,,13,Partnership,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,100000
1262,EDUCATION & HEALTH,CENTRAL,RAKAI,KALUNGI,English,Owner,,35-50,Male,Ugandan,Education,,6,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,28000000
1263,TRADING,CENTRAL,RAKAI,CENTRAL ZONE,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,0,70000
1264,MINING,CENTRAL,WAKISO,BUSABALA,English,Owner,,25-34,Male,Ugandan,Other mining and quarrying,,9,Single owner/sole proprietorship,,"Informal premises (e.g. informal market, street, vehicle,",,No,No,0,0,820000
1265,RECREATION & PERSONAL,EASTERN,KAMULI,MUWEBWA,English,Owner,,35-50,Female,Ugandan,"Creative, arts and entertainment activities",,19,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1268,OTHER MANUFACTURING,WESTERN,HOIMA,CENTRAL WARD,Other (specify),Owner,,50+,Male,Ugandan,Manufacture of wearing apparel,,25,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,Yes,0,0,280000
1269,OTHER MANUFACTURING,WESTERN,HOIMA,CENTRAL WARD,Luganda,Owner,,25-34,Female,Ugandan,Manufacture of wearing apparel,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,No,No,0,0,450000
1270,RECREATION & PERSONAL,KAMPALA,KAMPALA,BUKOTO I,English,Owner,,25-34,Male,Ugandan,"Motion picture, video and television programme production, sound recording and m",,3,Single owner/sole proprietorship,,Home,,Yes,Yes,0,0,1000000
1271,AGRICULTURE,WESTERN,KYEGEGWA,KIGAMBO,English,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,12,Single owner/sole proprietorship,,Home,,No,No,0,0,800000
,,,,,,,,,,,,,,,,,,,,,,
1273,EDUCATION & HEALTH,CENTRAL,MUKONO,NAGGALAMA,English,Owner,,35-50,Female,Ugandan,Education,,10,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,No,0,0,600000
1274,EDUCATION & HEALTH,WESTERN,KISORO,RWARAMBA,English,Owner,,35-50,Male,Ugandan,Education,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1500000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,FOOD PROCESSING,NORTHERN,KOLE,OMUGE,English,Owner,,35-50,Male,Ugandan,"Retail trade, except of motor vehicles and motorcycles",,14,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,250000
,,,,,,,,,,,,,,,,,,,,,,
1278,RECREATION & PERSONAL,KAMPALA,KAMPALA,NSAMBYA RAILWAYS,Luganda,Manager,,35-50,Male,Ugandan,Rental and leasing activities,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,65
1279,RECREATION & PERSONAL,CENTRAL,WAKISO,BUSABALA,Luganda,Owner,,35-50,Male,Ugandan,"Crop and animal production, hunting and related service activities",,7,Single owner/sole proprietorship,,Home,,No,No,0,0,170000
,,,,,,,,,,,,,,,,,,,,,,
1282,EDUCATION & HEALTH,EASTERN,BUDUDA,BUNAPORO,English,Owner,,25-34,Male,Ugandan,Education,,3,Partnership,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,1,500000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1289,EDUCATION & HEALTH,CENTRAL,WAKISO,BUSABALA,English,Owner,,35-50,Female,Ugandan,Education,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,3860000
,,,,,,,,,,,,,,,,,,,,,,
1291,INFORMATION & COMMUNICATION,EASTERN,BUGIRI,BULULU,English,Owner,,25-34,Male,Ugandan,Undifferentiated goods- and services-producing activities of private households,,4,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,380000
1292,INFORMATION & COMMUNICATION,EASTERN,MAYUGE,KAVULE,English,Other (please state),Director,35-50,Male,Ugandan,Education,,6,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,1500000
1293,EDUCATION & HEALTH,WESTERN,KABAROLE,KIYOMBYA,English,Owner,,25-34,Female,Ugandan,Education,,8,Single owner/sole proprietorship,,"Formal business premises (e.g. office, business complex,",,Yes,Yes,0,0,4200000
1294,EDUCATION & HEALTH,WESTERN,MBARARA,KAMUKUZI,English,Other (please state),CENTER  ADMINISTRATOR,25-34,Male,Ugandan,Education,,7,Publicly listed company (PLC),,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,500000000
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1298,AGRICULTURE,WESTERN,KYEGEGWA,KIHAMBA,English,Manager,,35-50,Male,Ugandan,Land transport and transport via pipelines,,6,"Privately held, limited company",,"Formal business premises (e.g. office, business complex,",,Yes,Yes,1,1,2500000
